11	275000	50	1250000
86	2150000	158	3950000
191	4775000	206	5150000
232	5800000	255	6375000
314	7850000	330	8250000
365	9125000	392	9800000
394	9850000	427	10675000
428	10700000	444	11100000
465	11625000	486	12150000
487	12175000	507	12675000
531	13275000	549	13725000
550	13750000	577	14425000
600	15000000	623	15575000
624	15600000	640	16000000
641	16025000	656	16400000
667	16675000	682	17050000
704	17600000	719	17975000
720	18000000	737	18425000
738	18450000	755	18875000
1149	28725000	1174	29350000
1228	30700000	1289	32225000
1381	34525000	1397	34925000
1398	34950000	1425	35625000
1430	35750000	1448	36200000
1452	36300000	1477	36925000
1493	37325000	1515	37875000
1516	37900000	1535	38375000
1536	38400000	1553	38825000
1558	38950000	1574	39350000
1577	39425000	1625	40625000
1626	40650000	1647	41175000
1697	42425000	1794	44850000
1800	45000000	1815	45375000
1816	45400000	1831	45775000
1836	45900000	1854	46350000
1891	47275000	1911	47775000
1912	47800000	1938	48450000
1960	49000000	1978	49450000
1979	49475000	1995	49875000
2053	51325000	2074	51850000
2092	52300000	2110	52750000
2180	54500000	2195	54875000
2203	55075000	2226	55650000
2283	57075000	2344	58600000
